test_id,node,test_category,test_description,test,result,failure_reason
67,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_EAPI-LEAF3A_Ethernet2,PASS
68,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_EAPI-LEAF4A_Ethernet2,PASS
69,EAPI-AGG01,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel1 - EAPI-LEAF1A_Po5,PASS
70,EAPI-AGG02,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel1 - EAPI-LEAF2A_Po5,PASS
71,EAPI-BL01A,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel3 - MLAG_PEER_EAPI-BL01B_Po3,PASS
72,EAPI-BL01B,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel3 - MLAG_PEER_EAPI-BL01A_Po3,PASS
73,EAPI-LEAF1A,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel5 - EAPI_L2LEAF1_Po1,PASS
74,EAPI-LEAF1A,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel3 - MLAG_PEER_EAPI-LEAF1B_Po3,PASS
75,EAPI-LEAF1B,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel5 - EAPI_L2LEAF1_Po1,PASS
76,EAPI-LEAF1B,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel3 - MLAG_PEER_EAPI-LEAF1A_Po3,PASS
77,EAPI-LEAF2A,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel5 - EAPI_L2LEAF2_Po1,PASS
78,EAPI-LEAF2A,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel3 - MLAG_PEER_EAPI-LEAF2B_Po3,PASS
79,EAPI-LEAF2B,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel5 - EAPI_L2LEAF2_Po1,PASS
